iter	Passed	Remaining
672	1355	658
673	1357	656
674	1359	654
675	1361	652
676	1362	650
677	1364	648
678	1366	646
679	1368	643
680	1369	641
681	1371	639
682	1373	637
683	1375	635
684	1376	633
685	1378	630
686	1380	628
687	1381	626
688	1383	624
689	1385	622
690	1387	620
691	1389	618
692	1391	616
693	1392	614
694	1394	612
695	1396	610
696	1398	607
697	1400	605
698	1401	603
699	1403	601
700	1405	599
701	1407	597
702	1409	595
703	1410	593
704	1412	591
705	1414	589
706	1416	587
707	1418	585
708	1420	582
709	1421	580
710	1423	578
711	1425	576
712	1427	574
713	1429	572
714	1430	570
715	1432	568
716	1434	566
717	1436	564
718	1437	561
719	1439	559
720	1441	557
721	1443	555
722	1445	553
723	1447	551
724	1448	549
725	1450	547
726	1452	545
727	1454	543
728	1455	541
729	1457	539
730	1459	537
731	1461	535
732	1463	533
733	1465	531
734	1468	529
735	1470	527
736	1473	525
737	1476	524
738	1480	522
739	1485	521
740	1487	520
741	1490	518
742	1493	516
743	1496	514
744	1498	513
745	1501	511
746	1503	509
747	1506	507
748	1509	505
749	1512	504
750	1515	502
751	1517	500
752	1520	498
753	1522	496
754	1524	494
755	1526	492
756	1528	490
757	1530	488
758	1532	486
759	1535	484
760	1537	482
761	1540	481
762	1543	479
763	1545	477
764	1547	475
765	1550	473
766	1553	471
767	1557	470
768	1560	468
769	1563	467
770	1567	465
771	1570	463
772	1572	461
773	1575	459
774	1577	457
775	1579	455
776	1582	454
777	1585	452
778	1587	450
779	1589	448
780	1592	446
781	1595	444
782	1598	442
783	1600	441
784	1603	439
785	1605	437
786	1607	435
787	1610	433
788	1612	431
789	1614	429
790	1617	427
791	1619	425
792	1621	423
793	1624	421
794	1626	419
795	1629	417
796	1632	415
797	1634	413
798	1636	411
799	1638	409
800	1640	407
801	1642	405
802	1644	403
803	1647	401
804	1650	399
805	1652	397
806	1655	395
807	1657	393
808	1659	391
809	1662	389
810	1664	387
811	1666	385
812	1668	383
813	1670	381
814	1672	379
815	1674	377
816	1676	375
817	1678	373
818	1680	371
819	1681	369
820	1683	367
821	1685	365
822	1687	362
823	1689	360
824	1692	359
825	1694	356
826	1696	354
827	1697	352
828	1699	350
829	1701	348
830	1703	346
831	1705	344
832	1707	342
833	1709	340
834	1711	338
835	1713	336
836	1714	333
837	1716	331
838	1718	329
839	1720	327
840	1722	325
841	1724	323
842	1725	321
843	1727	319
844	1729	317
845	1731	315
846	1732	313
847	1734	310
848	1736	308
849	1738	306
850	1740	304
851	1741	302
852	1743	300
853	1745	298
854	1747	296
855	1748	294
856	1751	292
857	1754	290
858	1757	288
859	1760	286
860	1763	284
861	1765	282
862	1768	280
863	1770	278
864	1772	276
865	1775	274
866	1777	272
867	1780	270
868	1783	268
869	1785	266
870	1788	264
871	1790	262
872	1793	260
873	1796	259
874	1799	257
875	1801	255
876	1803	252
877	1805	250
878	1807	248
879	1809	246
880	1811	244
881	1813	242
882	1815	240
883	1817	238
884	1819	236
885	1821	234
886	1823	232
887	1824	230
888	1826	228
889	1828	226
890	1830	223
891	1832	221
892	1834	219
893	1836	217
894	1838	215
895	1839	213
896	1841	211
897	1843	209
898	1845	207
899	1847	205
900	1849	203
901	1851	201
902	1853	199
903	1855	197
904	1856	194
905	1858	192
906	1860	190
907	1862	188
908	1863	186
909	1865	184
910	1867	182
911	1868	180
912	1870	178
913	1872	176
914	1873	174
915	1875	172
916	1877	169
917	1879	167
918	1880	165
919	1882	163
920	1884	161
921	1885	159
922	1887	157
923	1889	155
924	1891	153
925	1893	151
926	1895	149
927	1897	147
928	1898	145
929	1900	143
930	1902	141
931	1904	138
932	1905	136
933	1907	134
934	1909	132
935	1911	130
936	1912	128
937	1914	126
938	1916	124
939	1917	122
940	1919	120
941	1921	118
942	1923	116
943	1924	114
944	1926	112
945	1928	110
946	1930	108
947	1932	105
948	1935	104
949	1937	101
950	1939	99
951	1940	97
952	1942	95
953	1944	93
954	1946	91
955	1948	89
956	1949	87
957	1951	85
958	1953	83
959	1954	81
960	1956	79
961	1958	77
962	1959	75
963	1961	73
964	1963	71
965	1965	69
966	1967	67
967	1969	65
968	1971	63
969	1973	61
970	1975	59
971	1978	56
972	1980	54
973	1983	52
974	1985	50
975	1987	48
976	1989	46
977	1991	44
978	1993	42
979	1995	40
980	1998	38
981	2000	36
982	2002	34
983	2004	32
984	2006	30
985	2010	28
986	2012	26
987	2015	24
988	2017	22
989	2019	20
990	2021	18
991	2023	16
992	2025	14
993	2027	12
994	2029	10
995	2031	8
996	2033	6
997	2035	4
998	2037	2
999	2040	0
